Country,Afrobarometer Round Number,Survey Start Date,Survey End Date,Survey Duration
Burkina Faso,Round 6,2015-04-19,2015-05-05,16
Cote d'Ivoire,Round 6,2014-08-25,2014-09-08,14
Ghana,Round 6,2014-05-20,2014-06-10,21
Kenya,Round 6,2014-11-12,2014-12-05,23
Liberia ,Round 6,2015-05-06,2015-05-22,16
Malawi ,Round 6,2014-03-01,2014-04-27,57
Mali,Round 6,2014-12-01,2014-12-14,13
Niger,Round 6,2015-04-01,2015-04-18,17
Nigeria,Round 6,2014-12-05,2015-01-19,45
Sierra Leone,Round 6,2015-05-22,2015-06-10,19
South Africa,Round 6,2015-08-13,2015-09-21,39
Tanzania,Round 6,2014-08-26,2014-10-19,54
Tanzania,Round 6,2014-08-26,2014-10-19,54
Togo,Round 6,2014-10-12,2014-10-24,12
Uganda,Round 6,2015-05-07,2015-05-26,19
Zambia,Round 6,2014-10-03,2014-10-31,28
Zimbabwe,Round 6,2014-11-16,2014-11-29,13
Burkina Faso,Round 5,2012-12-03,2012-12-17,14
Cote d'Ivoire,Round 5,2013-03-11,2013-03-25,14
Ghana,Round 5,2012-05-08,2012-05-27,19
Kenya,Round 5,2011-11-02,2011-11-29,27
Liberia ,Round 5,2012-06-24,2012-07-08,14
Malawi ,Round 5,2012-06-04,2012-07-01,27
Mali,Round 5,2012-12-16,2013-01-01,16
Niger,Round 5,2013-03-31,2013-04-15,15
Nigeria,Round 5,2012-10-29,2012-11-30,32
Sierra Leone,Round 5,2012-06-23,2012-07-17,24
South Africa,Round 5,2011-10-20,2011-11-30,41
Tanzania,Round 5,2012-05-28,2012-06-30,33
Togo,Round 5,2012-12-17,2012-12-29,12
Uganda,Round 5,2011-12-02,2012-02-27,87
Zambia,Round 5,2012-01-21,2013-02-19,395
Zimbabwe,Round 5,2012-07-16,2012-07-30,14
Burkina Faso,Round 4,2008-10-06,2008-10-21,15
Ghana,Round 4,2008-03-04,2008-03-27,23
Kenya,Round 4,2008-10-29,2008-11-17,19
Liberia ,Round 4,2008-12-09,2009-02-08,61
Malawi ,Round 4,2008-10-02,2008-11-25,54
Mali,Round 4,2008-12-15,2008-12-31,16
Nigeria,Round 4,2008-05-13,2008-05-25,12
South Africa,Round 4,2008-10-27,2008-11-23,27
Tanzania,Round 4,2008-06-23,2008-07-12,19
Uganda,Round 4,2008-07-27,2008-10-28,93
Zambia,Round 4,2009-06-02,2009-06-24,22
Zimbabwe,Round 4,2009-05-09,2009-05-23,14
Ghana,Round 3,2005-03-10,2005-03-21,11
Kenya,Round 3,2005-09-06,2005-09-28,22
Malawi ,Round 3,2005-06-16,2005-07-04,18
Mali,Round 3,2005-06-20,2005-07-07,17
Nigeria,Round 3,2005-08-28,2005-12-31,125
South Africa,Round 3,2006-02-06,2006-02-28,22
Tanzania,Round 3,2005-07-21,2005-08-13,23
Uganda,Round 3,2005-04-12,2005-05-04,22
Zambia,Round 3,2005-07-29,2005-08-16,18
Zimbabwe,Round 3,2005-10-09,2005-10-28,19
Ghana,Round 2,2002-08-29,2002-09-11,13
Kenya,Round 2,2003-08-17,2003-09-23,37
Malawi ,Round 2,2003-04-29,2003-05-18,19
Mali,Round 2,2002-10-25,2002-11-23,29
Nigeria,Round 2,2003-10-13,2003-10-29,16
South Africa,Round 2,2002-09-13,2002-10-13,30
Tanzania,Round 2,2003-07-05,2003-08-06,32
Uganda,Round 2,2002-08-13,2002-09-25,43
Zambia,Round 2,2003-05-08,2003-06-05,28
Zimbabwe,Round 2,2004-04-26,2004-05-17,21
Ghana,Round 1,1999-07-01,1999-07-31,30
Nigeria,Round 1,1999-11-01,1999-12-01,30
Tanzania,Round 1,2020-03-01,2020-08-01,153
Uganda,Round 1,2000-05-01,2000-06-01,31
Zambia,Round 1,1999-11-01,1999-12-01,30
Zimbabwe,Round 1,1999-09-01,1999-10-01,30
