idEvent,Countrycode,Country,Location,Lat,Long,BufferEvent,BufferLocation,TrsBndry,LocDesc,Start,End,DateEst,StartDesc,Type,TypeDesc,EvDesc,FatEst,FatDesc,FatMn,FatMx,FatCivMn,FatCivMx,FatMilMn,FatMilMx,idActor0,ActActiv0,ActAly0,ActUncon0,ActName0,ActDesc0,ActLead0,idActor1,ActActiv1,ActAly1,ActUncon1,ActName1,ActDesc1,ActLead1,idActor2,ActActiv2,ActAly2,ActUncon2,ActName2,ActDesc2,ActLead2,idActor3,ActActiv3,ActAly3,ActUncon3,ActName3,ActDesc3,ActLead3,idActor4,ActActiv4,ActAly4,ActUncon4,ActName4,ActDesc4,ActLead4,idActor5,ActActiv5,ActAly5,ActUncon5,ActName5,ActDesc5,ActLead5,idActor6,ActActiv6,ActAly6,ActUncon6,ActName6,ActDesc6,ActLead6,idSrce0,SrceDate0,SrceName0,SrceBias0,idSrce1,SrceDate1,SrceName1,SrceBias1,idSrce2,SrceDate2,SrceName2,SrceBias2,idSrce3,SrceDate3,SrceName3,SrceBias3,idSrce4,SrceDate4,SrceName4,SrceBias4,idSrce5,SrceDate5,SrceName5,SrceBias5,idSrce6,SrceDate6,SrceName6,SrceBias6,idSrce7,SrceDate7,SrceName7,SrceBias7,idSrce8,SrceDate8,SrceName8,SrceBias8,idSrce9,SrceDate9,SrceName9,SrceBias9,idSrce10,SrceDate10,SrceName10,SrceBias10,idSrce11,SrceDate11,SrceName11,SrceBias11,idSrce12,SrceDate12,SrceName12,SrceBias12,idSrce13,SrceDate13,SrceName13,SrceBias13,idSrce14,SrceDate14,SrceName14,SrceBias14,idSrce15,SrceDate15,SrceName15,SrceBias15
1999,SIE,Sierra Leone,Eastern Province,"82,388","-109,955","71,46",0,0,"midpoint of three possible locations (Joru), 120 miles east of Freetown",1991-05-03,1991-05-03,0,,Fighting,Fighting,'hundreds'' of NPFL rebels killed in Sierra Leone,1,'hundreds of rebels'' were killed; the numbers of deaths are given by one involved actor only,1,2,0,0,1,2,328,0,0,0,National Patriotic Front of Liberia (NPFL),National Patriotic Front of Liberia (NPFL),Charles Taylor,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,104,06.05.1991,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2202,SIE,Sierra Leone,Eastern Province,"82,388","-109,955","71,46",0,0,,1996-05-05,1996-05-05,1,"no date description, source from May 5, 1995",One-sided attack,Unclear,rebel attack,1,at least 6 people were killed in two locations - split number of deaths,3,3,0,0,0,0,11,0,0,0,Unspecified actor,Unspecified actor,,345,1,0,1,Revolutionary United Front (RUF),Revolutionary United Front - rebel army in Sierra Leone from 1991-2002.,Foday Sankoh,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,110,07.05.1996,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2329,SIE,Sierra Leone,Eastern Province,"82,388","-109,955","71,46",0,0,,1998-02-11,1998-02-11,1,"no date description - reported on February 11, 1998",One-sided attack,Unclear,torture and killings,1,unspecified number of civilians,1,1,1,1,0,0,25,0,0,0,Civilian(s),Civilian(s),,318,1,0,0,Kamajor militia,Kamajor militia,Samuel Hinga Norman,366,1,0,0,People's Army of Sierra Leone,"After May 25, 1997, the RUF joined with the Republic of Sierra Leone Military Forces (RSLMF) loyal to the Armed Forces Revolutionary Council (AFRC) junta and renamed itself the People's Army of Sierra Leone. (Source: http://www.globalsecurity.org/military/world/war/sierra_leone.htm) Later - after Koroma's government was ousted by Nigerian-led troops in February 1998 - referred to as Sierra Leone's military junta.",Major Johnny Paul Koroma,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,112,14.02.1998,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2359,SIE,Sierra Leone,Eastern Province,"82,388","-109,955","71,46",0,0,,1998-04-17,1998-04-17,1,"no date description, source from April 17, 1998",One-sided attack,Unclear,80 people killed,0,,80,80,0,0,0,0,11,0,0,0,Unspecified actor,Unspecified actor,,366,1,0,0,People's Army of Sierra Leone,"After May 25, 1997, the RUF joined with the Republic of Sierra Leone Military Forces (RSLMF) loyal to the Armed Forces Revolutionary Council (AFRC) junta and renamed itself the People's Army of Sierra Leone. (Source: http://www.globalsecurity.org/military/world/war/sierra_leone.htm) Later - after Koroma's government was ousted by Nigerian-led troops in February 1998 - referred to as Sierra Leone's military junta.",Major Johnny Paul Koroma,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,112,17.04.1998,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2363,SIE,Sierra Leone,Eastern Province,"82,388","-109,955","71,46",0,0,"""Bambatendu, eastern Sierra Leone""",1998-04-11,1998-04-11,0,,One-sided attack,Unclear,200 civilians killed,1,"""about 200 civilians"" were killed",200,200,200,200,0,0,25,0,0,0,Civilian(s),Civilian(s),,345,1,0,0,Revolutionary United Front (RUF),Revolutionary United Front - rebel army in Sierra Leone from 1991-2002.,Foday Sankoh,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,112,23.04.1998,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2591,SIE,Sierra Leone,Eastern Province,"82,388","-109,955","71,46",0,0,,1998-05-12,1998-05-12,1,"no date description, reported on May 12, 1998",Fighting,Fighting,Ecomog launches surprise attack,1,"according to Ecomog, ""150 elements junta forces"" were killed in two towns - split death toll",1,75,0,0,1,75,321,0,0,0,ECOMOG,"ECOMOG, Community of West African States Monitoring Group",,366,0,0,0,People's Army of Sierra Leone,"After May 25, 1997, the RUF joined with the Republic of Sierra Leone Military Forces (RSLMF) loyal to the Armed Forces Revolutionary Council (AFRC) junta and renamed itself the People's Army of Sierra Leone. (Source: http://www.globalsecurity.org/military/world/war/sierra_leone.htm) Later - after Koroma's government was ousted by Nigerian-led troops in February 1998 - referred to as Sierra Leone's military junta.",Major Johnny Paul Koroma,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,112,12.05.1998,BBC Monitoring,2,112,13.05.1998,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2592,SIE,Sierra Leone,Eastern Province,"82,388","-109,955","71,46",0,0,,1998-05-12,1998-05-12,1,"no date description - reported on May 12, 1998",Fighting,Fighting,Ecomog launches surprise attack,1,"according to Ecomog, ""150 elements junta forces"" were killed in two towns - split death toll",1,75,0,0,1,75,321,0,0,0,ECOMOG,"ECOMOG, Community of West African States Monitoring Group",,366,0,0,0,People's Army of Sierra Leone,"After May 25, 1997, the RUF joined with the Republic of Sierra Leone Military Forces (RSLMF) loyal to the Armed Forces Revolutionary Council (AFRC) junta and renamed itself the People's Army of Sierra Leone. (Source: http://www.globalsecurity.org/military/world/war/sierra_leone.htm) Later - after Koroma's government was ousted by Nigerian-led troops in February 1998 - referred to as Sierra Leone's military junta.",Major Johnny Paul Koroma,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,112,12.05.1998,BBC Monitoring,2,112,13.05.1998,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2599,SIE,Sierra Leone,Eastern Province,"82,388","-109,955","71,46",0,0,,1998-08-14,1998-08-14,1,"no date description - reported on August 14, 1998",Unclear,Unclear,former Sierra Leonean rebels killed,0,,30,60,0,0,30,60,321,0,0,0,ECOMOG,"ECOMOG, Community of West African States Monitoring Group",,145,0,0,0,Rebel(s),Unspecified rebel(s),,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,112,14.08.1998,BBC Monitoring,0,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
2643,SIE,Sierra Leone,Kailahun District,"80,888","-107,248","37,76",0,0,"""eastern Sierra Leone () in Kono and Kailahun"" SL 2001, S. 467",2001-05-06,2001-05-09,0,,Fighting,Fighting,fighting,1,"two RUF members and seven Kamajors were killed as reported by RUF (2 locations, split event)",1,5,0,0,"1,5","4,5",345,0,0,0,Revolutionary United Front (RUF),Revolutionary United Front - rebel army in Sierra Leone from 1991-2002.,Foday Sankoh,318,0,0,0,Kamajor militia,Kamajor militia,Samuel Hinga Norman,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,115,10.05.2001,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
1991,SIE,Sierra Leone,Kailahun District,"80,888","-107,248","37,76",0,0,,1991-03-23,1991-03-23,0,,One-sided attack,Use of small firearms,NPFL ''massacres'' in Sierra Leone,1,"""deaths of 14 people"", ""three military officers"" killed",4,14,1,11,3,3,328,1,0,0,National Patriotic Front of Liberia (NPFL),National Patriotic Front of Liberia (NPFL),Charles Taylor,25,0,0,0,Civilian(s),Civilian(s),,332,0,0,0,Sierra Leonean Government Forces,Sierra Leonean Government Forces; regular army,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,NA,0,NA,0,,,,104,26.03.1991,BBC Monitoring,1,104,26.03.1991,BBC Monitoring,2,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA
