"","region","totalCasualtiesHighLowAvg","latitude","longitude"
"1","Sulu",182,"15.0167","120.533"
"2","Panamao",71,"5.98111","121.215"
"3","Philippines",16,"13","122"
"4","Parang",7,"5.9137","120.906"
"5","Tandang Sora",0,"14.6764","121.038"
"6","Tacurong",136,"6.6925","124.676"
"7","Mindanao",0,"9.62667","123.381"
"8","Visayas",0,"11","123.5"
"9","Luzon",0,"16","121"
"10","Caraga",0,"7.32972","126.567"
"11","Samar",0,"11.8333","125"
"12","Makati",0,"13.0008","120.813"
"13","Taviran",9,"7.12333","124.32"
"14","Esperanza",0,"15.9369","120.802"
"15","Bulacan",10,"6.5675","125.421"
"16","Bontoc",19,"15.4667","120.65"
"17","Negros Occidental",9,"10.4167","123"
"18","Occidental Mindoro",9,"13","120.917"
"19","Bantayan",1,"11.2","123.733"
